irep theta1 theta2 beta omega1 omega2 LL.IS
111 -1.924696 -0.3997543 -0.2201375 1.413347 0.1601206 -451.184
112 -1.642745 -0.3466075 -0.2856607 0.9503638 0.1886413 -485.954
113 -1.663454 -0.4452543 -0.1838464 0.8497402 0.2478184 -455.9339
114 -1.440882 -0.4130882 -0.1229387 0.63489 0.2006686 -500.1624
115 -2.003862 -0.3210524 -0.213668 1.183278 0.1595184 -444.7127
116 -2.023258 -0.3497903 -0.1443335 1.116311 0.1714678 -437.1977
117 -1.84112 -0.3203134 -0.1217313 0.7646604 0.1753016 -463.0934
118 -1.817916 -0.3371556 -0.1337327 0.8686191 0.1641008 -460.6363
119 -1.76249 -0.4738033 -0.0263487 1.157091 0.235596 -491.5893
120 -1.824154 -0.3359727 -0.1366627 1.112641 0.1504137 -486.8073
121 -1.531919 -0.5005688 -0.1087735 0.8501807 0.2389152 -469.7804
122 -1.95031 -0.3892 -0.2217994 1.195207 0.2546182 -456.8154
123 -1.637423 -0.5152835 -0.0444246 1.281601 0.1955639 -482.1743
124 -1.590254 -0.432242 -0.1329198 1.124299 0.1979868 -503.1739
125 -1.638303 -0.3643255 -0.1944789 0.7369488 0.2224985 -484.5552
126 -1.78387 -0.4044539 -0.142241 1.126894 0.2414319 -494.3627
127 -1.635642 -0.6800506 -0.1935487 1.090347 0.3465248 -411.7449
128 -1.73954 -0.3089671 -0.2894996 0.9252993 0.1480036 -462.4698
129 -1.495496 -0.5681181 -0.08702608 0.9071292 0.3781676 -524.1422
130 -2.046645 -0.3557632 -0.175275 1.017946 0.178662 -409.9517
131 -1.656802 -0.353923 -0.1659201 0.683149 0.1714279 -463.161
132 -1.475453 -0.4848503 -0.3339754 0.9931328 0.2616744 -467.4466
133 -1.694761 -0.4874604 0.02580195 0.9401164 0.1849508 -461.3272
134 -1.970364 -0.3019751 -0.147372 1.043642 0.1473415 -460.1325
135 -1.739303 -0.3126319 -0.2370427 1.134484 0.05532161 -472.6165
136 -2.124871 -0.2206688 -0.2205539 1.330192 0.1277517 -494.0862
137 -1.345422 -0.393881 -0.2278842 0.8677995 0.2368768 -555.131
138 -1.535916 -0.4564271 -0.2220362 0.9075412 0.2652179 -484.4439
139 -1.773525 -0.3699806 -0.1144734 0.9740136 0.1503968 -464.1733
140 -1.860598 -0.5037641 -0.03700222 1.162222 0.2551629 -455.5411
141 -1.425075 -0.4446471 -0.1057601 1.094958 0.1832026 -529.6306
142 -1.681644 -0.4723532 -0.1125756 0.9387782 0.2319925 -453.6101
143 -1.758534 -0.4561132 -0.05231663 1.125159 0.1967133 -470.9216
144 -1.819698 -0.2858088 -0.2226107 1.054283 0.1360241 -486.8625
145 -1.51018 -0.4468082 -0.1413375 0.6566923 0.1949642 -451.9419
146 -1.639277 -0.4748171 -0.1208068 0.8408723 0.2493986 -460.2405
147 -1.602202 -0.4318151 -0.02955462 0.9093844 0.166524 -488.4301
148 -1.649887 -0.345081 -0.2145129 1.012718 0.1991582 -510.4264
149 -1.823434 -0.3521549 -0.1702276 1.173526 0.1551386 -478.84
150 -1.74004 -0.4093633 -0.2260299 0.6779768 0.2526186 -433.796
151 -1.503407 -0.4120197 -0.1964284 0.951567 0.1883804 -496.8245
152 -1.626034 -0.2972005 -0.3127746 0.8516971 0.1438885 -483.0911
153 -1.696472 -0.3871943 -0.1461366 0.6671971 0.2079908 -454.8552
154 -1.273517 -0.4680992 -0.1664023 0.5594885 0.2294884 -501.2169
155 -1.340862 -0.4059825 -0.2018009 0.959138 0.2032794 -548.0276
156 -1.980294 -0.2782669 -0.1868431 1.120054 0.1186303 -463.4924
157 -1.862903 -0.3681351 -0.3802885 1.250324 0.209491 -448.0577
158 -1.942125 -0.2936982 -0.2361599 1.251481 0.1526786 -483.2073
159 -1.641605 -0.3605376 -0.1648428 0.926823 0.1235963 -477.4907
160 -1.532689 -0.4234288 -0.1505384 0.7183262 0.2012385 -468.7371
161 -1.896939 -0.4511808 -0.1518005 1.071881 0.2207096 -420.9387
162 -1.957345 -0.5077224 -0.1666044 1.214588 0.235664 -399.7225
163 -1.773735 -0.4486075 -0.09765664 1.2093 0.2501053 -495.5249
164 -1.626685 -0.483676 -0.2042008 1.003373 0.2969261 -476.8718
165 -1.691104 -0.4410873 -0.135727 1.265238 0.2332672 -506.1814
166 -1.739039 -0.3985315 -0.1666906 1.169851 0.1737444 -477.3294
167 -1.29229 -0.4278779 -0.2971585 0.8202307 0.2604412 -535.3622
168 -1.720187 -0.4032203 -0.2235453 0.9258319 0.1934562 -444.401
169 -1.755923 -0.5056239 -0.2693315 1.073469 0.2781443 -421.4309
170 -1.507782 -0.512202 -0.0968293 0.963098 0.1752325 -456.912
171 -1.237624 -0.4973732 -0.3092158 0.6466894 0.2353889 -476.2201
172 -1.693331 -0.5830235 0.03850814 1.042541 0.2695416 -462.406
173 -1.550781 -0.6291095 -0.1419371 0.9526902 0.3549875 -457.4779
174 -1.429513 -0.4871009 -0.1451591 1.010847 0.2477539 -510.7626
175 -1.594535 -0.4841903 -0.1581825 1.233815 0.2816935 -510.2865
176 -1.940954 -0.2909085 -0.1062523 1.024503 0.1099915 -470.3871
177 -2.271789 -0.3139886 -0.1516457 1.431047 0.1074013 -427.3285
178 -1.699653 -0.4134463 -0.2243625 1.351256 0.1732645 -482.2382
179 -1.739192 -0.432448 -0.1078531 0.9430139 0.2405529 -473.4384
180 -2.140838 -0.2994307 -0.1737056 1.152477 0.1463876 -428.4421
181 -1.630221 -0.4349946 0.001947847 0.8838244 0.1764054 -488.2353
182 -1.418675 -0.5186185 -0.07871561 0.8850253 0.2538447 -506.792
183 -1.612074 -0.4902324 -0.1806132 0.8064114 0.2891263 -460.4484
184 -1.436367 -0.494402 -0.2074398 0.9770608 0.2362523 -482.8249
185 -1.980207 -0.2436816 -0.23117 1.150589 0.1376635 -487.2169
186 -1.663346 -0.4040529 -0.1807171 0.9888339 0.2328254 -494.4664
187 -1.728836 -0.3803624 -0.419415 1.104555 0.2455766 -461.1341
188 -1.790464 -0.4076131 -0.2693776 1.326103 0.2351252 -482.757
189 -1.6106 -0.4243193 -0.2027773 0.9497541 0.2211575 -477.2776
190 -1.78634 -0.3724012 -0.1604566 1.251291 0.2133501 -512.9686
191 -1.510484 -0.4201874 -0.3341046 1.029964 0.1318514 -455.0048
192 -1.541715 -0.4377805 -0.2367394 1.039183 0.2616721 -507.3546
193 -1.598802 -0.4323548 -0.1037181 0.780803 0.179811 -458.0758
194 -1.172398 -0.5271782 -0.2194193 0.6487584 0.2762393 -509.1778
195 -1.652172 -0.3188439 -0.318463 1.082371 0.1324247 -486.3026
196 -1.572465 -0.3882862 -0.2095336 0.8421747 0.2065513 -486.1867
197 -1.776072 -0.3796231 -0.2389456 1.036309 0.2289463 -468.4454
198 -1.454069 -0.3754743 -0.1812393 0.7503434 0.2292259 -535.9999
199 -1.626355 -0.4822249 -0.04944053 0.8611046 0.2317888 -470.0999
200 -1.906203 -0.5650891 -0.08325956 1.208389 0.2743263 -418.776
