rep,id,beta0,gamma0,delta0,group
1,112,-0.343186649933495,0.000739361275893875,0.0604583866632203,1
1,113,-0.177547577854118,0.000884385280718929,0.0223365783526365,1
1,114,-0.550618318800119,0.000618264825126065,0.0539513134300172,1
1,115,-0.197731151098018,0.000784992018088088,0.0290075408347551,1
1,116,-0.26750486496109,0.000723549442288176,0.028304418708043,1
1,117,-0.340380591245443,0.000706817680770115,0.0612096310792596,1
1,118,-0.445653827850304,0.000620655801711088,0.025933899658153,1
1,119,-0.0854124958591349,0.000689531356439537,0.0363400210775283,1
1,120,-0.376606344089881,0.000987327884790997,0.0250825018968623,1
1,121,-0.298603921704707,0.000920687855602782,0.0273884959290901,1
1,122,-0.204038964101363,0.00115232066135768,0.0387468072285942,1
1,123,-0.202878530108724,0.000513058203752748,0.0610663069313027,1
1,124,-0.685570968782133,0.000776483662951959,0.0449694854504513,1
1,125,-0.233570716177813,0.000884261001488783,0.0489657936703006,1
1,126,-0.214565990465913,0.000965439634247402,0.0425274479335051,1
1,127,-0.270341825852896,0.000814459110186359,0.0592363945493296,1
1,128,-0.357274245549958,0.000602630005205246,0.044463063673116,1
1,129,-0.366386127513489,0.000822032271184737,0.0295578411842215,1
1,130,-0.329486090118143,0.00120462000823064,0.015714083740999,1
1,131,-0.168745089896449,0.000923656962452577,0.0605188095653981,1
1,132,-0.227953291791996,0.000782858814242521,0.0666173714942857,1
1,133,-0.107913430966795,0.000782790500051712,0.0536796163698777,1
1,134,-0.317488854035179,0.000948027214833372,0.030007397393618,1
1,135,-0.455933911019509,0.00132414608578299,0.0413016362557458,1
1,136,-0.327715834838053,0.00107430824139961,0.109742929437946,1
1,137,-0.425815014525378,0.000809226289582549,0.0560758750482129,1
1,138,-0.453058962163672,0.000803619296625002,0.035402867095972,1
1,139,-0.0775944452228619,0.00105859565590272,0.0371695099224649,1
1,140,-0.426535289447387,0.000685787581043062,0.0284591473431682,1
1,141,-0.299943592572326,0.000771110089115366,0.0454494072530059,1
1,142,-0.367546387124171,0.000611809323060844,0.0594835052692578,1
1,143,-0.064178544371617,0.000788705092092836,0.169301830997406,1
1,144,-0.301451570473708,0.00117456983090565,0.0400695206998826,1
1,145,-0.360721137435181,0.00109262936335866,0.0573139017714282,1
1,146,-0.48709127800703,0.000839627166403796,0.0848479690089037,1
1,147,-0.497467163083292,0.000946196802467483,0.0544697379444289,1
1,148,-0.385893708502898,0.00127758143385623,0.0875016746441099,1
1,149,-0.32045615994585,0.000810911153360108,0.0343798252615336,1
1,150,-0.323310190260485,0.000805080537851291,0.0232878722789966,1
1,151,-0.450130939377957,0.000973193929841716,0.0118432501232978,1
1,152,-0.206951227875556,0.000912741395662415,0.0609370805860809,1
1,153,-0.22291473253551,0.00107793886520721,0.081012880895768,1
1,154,-0.122464910189452,0.000678105358792516,0.064213173602285,1
1,155,-0.232710661701706,0.00087523867108298,0.0305597638031861,1
1,156,-0.371426044944599,0.000910520858435642,0.0290274967598182,1
1,157,-0.516704629595616,0.000697412985256727,0.0358528577052875,1
1,158,-0.574884959733642,0.00079974811625139,0.0343212111550441,1
1,159,-0.0306151385719756,0.00116342544258315,0.0260250803247277,1
1,160,-0.0198901284223117,0.000697138941702465,0.0338620316405294,1
1,161,-0.368366360514406,0.000864983890355804,0.0178657598297012,1
1,162,-0.351981651806253,0.000748449548105794,0.0149913061278158,1
1,163,-0.373801872351833,0.000984749808816297,0.0146753129048926,1
1,164,-0.100378327505578,0.000862129348457599,0.0273768620717655,1
1,165,-0.132257529760319,0.000765826372472725,0.0592542803825206,1
1,166,-0.17364949371674,0.00106640639892892,0.0227145840986734,1
