rep,id,lambda
5,54,0.547184084925611
1,55,1.00774190219838
2,55,1.00156301141586
3,55,0.974185526047952
4,55,0.870210430530838
5,55,1.11500191649696
1,56,0.222405284794405
2,56,0.100719244830736
3,56,0.221803543634571
4,56,0.167051429061883
5,56,0.320715816216384
1,57,0.0995724289030514
2,57,0.0711124465274518
3,57,0.195677975592236
4,57,0.193102472752543
5,57,0.0882102197357065
1,58,0.95809046646007
2,58,0.642441077752019
3,58,0.505487256279478
4,58,0.43955040192737
5,58,0.300382983482304
1,59,0.158418379387468
2,59,0.314427172370054
3,59,0.144303244644161
4,59,0.16301624117805
5,59,0.370437650706621
1,60,0.248146150780879
2,60,0.176620266103413
3,60,0.101362224406311
4,60,0.248389771207079
5,60,0.110096214172732
1,61,0.416784935570813
2,61,0.16436869660893
3,61,0.298049581593158
4,61,0.279279373892359
5,61,0.460513842161726
1,62,1.58180360347533
2,62,1.8352755176746
3,62,1.76835088965025
4,62,1.4793297871023
5,62,1.11995134966465
1,63,0.26954638877059
2,63,0.237252239822179
3,63,0.270315951090279
4,63,0.256940478318765
5,63,0.174603776276502
1,64,0.994041475322515
2,64,1.10100228483325
3,64,0.960883526213926
4,64,1.38442398687785
5,64,1.28737604208278
1,65,0.175124932784065
2,65,0.373002928958381
3,65,0.168127701622265
4,65,0.293124331021826
5,65,0.249974713058963
1,66,0.537086897367719
2,66,0.544099507933903
3,66,0.363953866977753
4,66,0.375109822141314
5,66,0.607774265039286
1,67,0.430490696604208
2,67,0.201929883540549
3,67,0.417288808649167
4,67,0.120454709824645
5,67,0.232647167997091
1,68,0.48618400094934
2,68,0.734241095538061
3,68,0.826442685207439
4,68,0.925318593740093
5,68,0.678444165500937
1,69,0.17601399826463
2,69,0.0812189106138516
3,69,0.0677852320410003
4,69,0.0525936467757197
5,69,0.0582232953442896
1,70,0.101221292796501
2,70,0.254193896951223
3,70,0.211409778874345
4,70,0.111126457305994
5,70,0.317068083296657
1,71,1.51003917002633
2,71,1.51871372172641
3,71,1.70715192818376
4,71,1.75454718482321
5,71,1.36129579718442
1,72,0.23051009698018
2,72,0.270170067163892
3,72,0.273186746429173
4,72,0.254621625276152
5,72,0.275320641711999
1,73,1.02071918604645
2,73,1.0119769898557
3,73,0.791978960963692
