rep,id,eta_lambda
2,22,0.197276645687557
3,22,0.464920603588687
4,22,-0.0742592330854651
5,22,-0.0294073672819402
1,23,-0.0624745300454879
2,23,0.162760108357649
3,23,0.649608630672146
4,23,0.189013879094433
5,23,-0.42399395587461
1,24,-0.489259964450734
2,24,-0.0314326138064075
3,24,-0.296011505121286
4,24,-1.01903355937048
5,24,-0.748262277918376
1,25,-1.12148244464871
2,25,-0.976270440252214
3,25,-1.5552324184224
4,25,-1.23652295084812
5,25,-1.13880476370686
1,26,-1.7922644588552
2,26,-2.10079240287197
3,26,-1.95722479254346
4,26,-1.73099753725312
5,26,-2.15977780652807
1,27,-0.419323195446225
2,27,-0.56756318977935
3,27,-0.770080010101713
4,27,-0.493102442865722
5,27,-0.841576116295313
1,28,0.612433814316033
2,28,0.370659795557629
3,28,-0.318937688789955
4,28,0.57145563263297
5,28,0.402314755776525
1,29,-1.22516270215161
2,29,-1.71563097906597
3,29,-0.684487193854875
4,29,-1.7856717198601
5,29,-0.463086315446044
1,30,0.558519457511288
2,30,0.437643880820161
3,30,0.258149719003513
4,30,-0.149515899245339
5,30,0.255462842457508
1,31,1.28884437164972
2,31,1.10806182170041
3,31,1.35160552158792
4,31,1.42816968318619
5,31,1.49167349356148
1,32,-0.824318840510546
2,32,-1.57546031643994
3,32,-2.04873178231528
4,32,-0.766126362262137
5,32,-0.88479893162437
1,33,-1.78144799621094
2,33,-1.3282187201279
3,33,-1.91118376071677
4,33,-1.18719656739098
5,33,-2.06195546055033
1,34,-0.134932476554125
2,34,-0.274055592769297
3,34,-0.834843635054527
4,34,-0.0782208873372334
5,34,-0.0647623877742551
1,35,-0.0589159654324442
2,35,-0.0278769613284654
3,35,-0.10673310547527
4,35,-0.134849459642441
5,35,0.0800757295184772
1,36,2.86141031286903
2,36,2.86141031286903
3,36,2.86141031286903
4,36,2.88719605598715
5,36,2.83037094700165
1,37,0.304956213416223
2,37,0.263181025142298
3,37,0.603207543865214
4,37,0.712818346443381
5,37,0.293627618653464
