id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
212,-0.385468,-0.0104203,-0.416004,-0.0224763,-0.296214,-0.00975465,0.985279,0.208523,1
213,0.559157,-0.0525686,0.612407,-0.0376162,0.684008,-0.0238355,0.952902,0.210293,1
214,-0.393546,-0.0147426,-0.410727,-0.0240825,-0.296214,-0.00975476,1.0782,0.198822,1
215,-0.389069,-0.0195171,-0.451856,-0.0113963,-0.296214,-0.00975467,1.06932,0.215666,1
216,-0.392424,-0.0150436,-0.374663,-0.00986446,-0.296214,-0.00975453,1.04431,0.20287,1
217,-0.472263,-0.0251632,-0.443036,-0.0330543,-0.296214,-0.0097547,0.999945,0.202606,1
218,0.319161,0.252346,0.404133,0.261486,0.480004,0.293655,0.943469,0.181276,1
219,0.566581,0.0762537,0.520237,0.0763073,0.622589,0.10013,0.937344,0.19318,1
220,1.23985,0.139863,1.30407,0.112193,1.33204,0.149124,0.846271,0.194192,1
221,-0.332308,-0.00925804,-0.373331,-0.0108834,-0.296215,-0.00975469,1.00288,0.209043,1
222,-0.450073,-0.0134716,-0.354187,-0.020295,-0.296214,-0.00975468,1.05582,0.21031,1
223,-0.451583,-0.0321988,-0.40018,-0.0239362,-0.296214,-0.00975464,1.03854,0.193565,1
224,-0.398828,-0.0253794,-0.392345,-0.0121119,-0.296214,-0.00975454,1.02681,0.198283,1
225,-0.36556,-0.0190252,-0.453091,-0.00943589,-0.296214,-0.00975462,1.02345,0.19156,1
226,-0.48109,-0.0169911,-0.358128,-0.0154748,-0.296215,-0.00975466,1.00527,0.202196,1
227,-0.391435,-0.0257342,-0.386849,-0.00183445,-0.296214,-0.00975461,1.04451,0.20824,1
228,-0.323334,-0.0117455,-0.395995,-0.0308006,-0.296214,-0.00975454,1.02761,0.187881,1
229,0.578733,-0.0257265,0.583408,-0.0239145,0.684007,-0.0238354,0.936199,0.205251,1
230,-0.44466,-0.0296197,-0.445321,-0.0235193,-0.296214,-0.00975453,1.03094,0.217848,1
231,-0.388733,-0.0245349,-0.430582,-0.0141265,-0.296214,-0.0097547,1.02239,0.204801,1
232,0.588607,-0.0363815,0.643074,-0.0325946,0.684007,-0.0238355,0.94925,0.211891,1
233,-0.401978,-0.0162922,-0.366691,-0.00641976,-0.296214,-0.0097547,1.03444,0.201054,1
234,-0.32349,-0.0197157,-0.393003,-0.00888909,-0.296214,-0.00975471,0.990783,0.206167,1
235,-0.361111,-0.00560046,-0.468249,-0.0216687,-0.296214,-0.00975467,1.0076,0.210887,1
236,0.573093,-0.0315852,0.612068,-0.0568792,0.684008,-0.0238352,0.936745,0.206931,1
237,-0.397797,-0.0176444,-0.372065,-0.0309649,-0.296214,-0.00975443,1.02079,0.204431,1
238,-0.457175,-0.0169366,-0.413874,-0.0176647,-0.296214,-0.0097547,1.02201,0.206455,1
239,-0.4008,-0.0166923,-0.384538,-0.0170344,-0.296214,-0.00975464,0.968832,0.199692,1
240,-0.361954,-0.02051,-0.416793,-0.00875844,-0.296214,-0.00975462,1.01794,0.198111,1
241,-0.407877,-0.0267638,-0.40294,-0.0212815,-0.296214,-0.00975475,1.00247,0.206772,1
242,0.654541,-0.0364784,0.523915,-0.0309401,0.684007,-0.0238353,0.928494,0.198296,1
243,0.4546,0.083967,0.453842,0.083632,0.622589,0.10013,0.890213,0.195471,1
244,0.490297,0.0827976,0.408474,0.0975512,0.622589,0.10013,0.887912,0.203393,1
