rep,id,beta0,gamma0,delta0,eta_beta0,eta_gamma0,eta_delta0
1,55,-0.203407399959239,-6.83728141019126,-2.95647685597167,0.101894901765186,0.199378245261494,0.314709247245622
1,56,-0.4586928774239,-6.99728313114768,-3.22519866919297,-0.153390575699474,0.0393765243050748,0.0459874340243172
1,57,-0.185146780837357,-7.08640187694723,-4.07172688130217,0.120155520887068,-0.0497422214944754,-0.800540778084884
1,58,-0.431725228306657,-6.81046932938434,-3.10359736553073,-0.126422926582231,0.226190326068417,0.167588737686561
1,59,-0.316702631919671,-6.93645333797058,-3.27353765411215,-0.0114003301952459,0.100206317482173,-0.00235155089485861
1,60,-0.162583132543594,-6.83294529941025,-4.30473172798156,0.142719169180831,0.203714356042507,-1.03354562476427
1,61,-0.467421340876791,-6.85015708684888,-3.32535736341248,-0.162119039152366,0.18650256860388,-0.0541712601951927
1,62,-0.386542758564883,-6.93296281134647,-3.84000393432679,-0.0812404568404572,0.103696844106292,-0.568817831109498
1,63,-0.383464535375319,-6.8074200249808,-4.57426577002508,-0.0781622336508938,0.229239630471957,-1.30307966680779
1,64,-0.367807137617091,-7.39835571106385,-2.90438676175171,-0.0625048358926661,-0.361696055611095,0.366799341465574
1,65,-0.193739842604126,-6.69266281178463,-3.25366364918229,0.111562459120299,0.343996843668131,0.0175224540349967
1,66,-0.336023604669913,-6.98564228329537,-3.41716315889696,-0.0307213029454877,0.0510173721573919,-0.145977055679672
1,67,-0.568464119336712,-7.31393716101952,-3.26010386699337,-0.263161817612286,-0.277277505566762,0.0110822362239178
1,68,-0.268262480973083,-6.66927592752749,-2.87565420030399,0.0370398207513419,0.367383727925264,0.3955319029133
1,69,-0.247740460056038,-6.75460187421997,-3.3897430896367,0.0575618416683877,0.282057781232786,-0.118556986419413
1,70,-0.168335440556573,-7.20015979918502,-3.37252906272997,0.136966861167852,-0.163500143732263,-0.101342959512678
1,71,-0.377515719587379,-7.24420871393632,-3.61430956505497,-0.0722134178629533,-0.207549058483568,-0.343123461837676
1,72,-0.261045164296657,-6.81452076738593,-2.87385814002144,0.0442571374277683,0.222138888066832,0.39732796319585
1,73,-0.378859823213751,-7.3060752334348,-3.35444684585312,-0.0735575214893253,-0.269415577982048,-0.0832607426358303
1,74,-0.562191985279706,-7.23886411755619,-3.27849994277589,-0.256889683555281,-0.202204462103436,-0.00731383955860521
1,75,-0.272629168742412,-7.21733148545943,-3.30062993875578,0.0326731329820137,-0.180671830006673,-0.0294438355384918
1,76,-0.433980707549881,-6.57027659020168,-3.20631249904309,-0.128678405825455,0.466383065251079,0.0648736041742035
1,77,-0.344196397806712,-7.09617092007258,-3.51684461747672,-0.0388940960822867,-0.059511264619827,-0.245658514259432
1,78,-0.31340829805471,-7.38411414524347,-3.15521385113217,-0.00810599633028447,-0.347454489790711,0.11597225208512
1,79,-0.413146674992349,-6.75846276391153,-3.28181013293671,-0.107844373267923,0.278196891541224,-0.0106240297194216
1,80,-0.341613260461951,-7.00957944625987,-3.55578068124929,-0.0363109587375257,0.0270802091928877,-0.284594578031998
1,81,-0.301565727161761,-6.95372568426848,-3.8562261719149,0.00373657456266435,0.082933971184274,-0.585040068697612
