rep,id,eta_beta0,eta_gamma0,eta_delta0,group
1,55,-0.0348505807387736,0.210439725420682,-0.706250728275107,1
1,56,-0.101008749621478,-0.210256361834973,0.272632354711984,1
1,57,0.116258912396233,-0.580888652383352,-0.415618225161453,1
1,58,0.0697179215505382,0.310460928333227,-0.297823630964063,1
1,59,0.213538572173437,-0.0854751264194773,-0.368605846827188,1
1,60,-0.0272943350136098,0.268230415202211,-0.115032097479665,1
1,61,0.00922167910351972,-0.334258641493741,0.497572146843448,1
1,62,-0.034777531466583,-0.117209757603505,-0.367191370821416,1
1,63,-0.0324955021672441,0.105503010209325,-0.187482894317953,1
1,64,0.081715764600177,0.400601238353715,-0.410381200131569,1
1,65,-0.119821039616546,-0.0413878966634185,-0.431455087629568,1
1,66,-0.0331086350731043,0.0776576848908531,0.338507233407355,1
1,67,0.0268436929610192,-0.202376166237778,0.0665407083314247,1
1,68,0.094959853730459,0.302533068072623,-0.0537100394156733,1
1,69,-0.0212208889462861,0.35685218143276,-0.223106931901316,1
1,70,0.169744764219889,0.25238946756771,-0.192135897349794,1
1,71,0.044636045323666,0.234914311837586,-0.40168835200229,1
1,72,-0.142763366808198,0.333054375673341,0.716673224726842,1
1,73,0.192972109285524,-0.0170196096520376,-0.196919620370098,1
1,74,-0.119156061044761,-0.252762681951174,-0.253697048022426,1
1,75,0.155690305567804,0.180143699223529,0.662528644311544,1
1,76,-0.192203096023193,-0.184403869824483,-0.139883321312053,1
1,77,0.00512273507172911,-0.335853113234182,-0.294776863351622,1
1,78,-0.0780887149927103,-0.17924383164037,0.201795426616367,1
1,79,0.10559604802329,0.156294905018234,-0.334635929417174,1
1,80,0.102228167356704,-0.0412732927840001,0.0761702734661108,1
1,81,-0.184607191505364,-0.150038473013186,-0.448149094990038,1
1,82,0.149160784875015,0.0458813270954141,-0.681324451363254,1
1,83,0.125923417687557,-0.356077019483798,-0.699036532408684,1
1,84,0.0867491485587291,-0.196731648341024,-0.540228633277113,1
1,85,0.199705258369844,-0.0444859095295757,-0.802886281702558,1
1,86,-0.175117918599731,-0.137153564601237,1.24740625213846,1
1,87,0.0866080476049481,-0.222704268661234,-0.120826505118282,1
1,88,0.010229017296104,-0.219759080056293,0.12664153690893,1
1,89,-0.0290498097723816,-0.239997004057185,0.0116313019165417,1
1,90,-0.0181795242011192,0.269078628636081,-0.424403863765602,1
1,91,-0.166228963640044,0.203174112285836,-0.17328053211021,1
1,92,0.014611011010764,0.319593290275149,-0.452571780294437,1
1,93,-0.149256342310155,0.0118009136891875,0.059541991542054,1
