id,th1_SAEM,th2_SAEM,th3_SAEM,th4_SAEM,th1_mean,th2_mean,th3_mean,th4_mean,th1_mode,th2_mode,th3_mode,th4_mode,th1_sd,th2_sd,th3_sd,th4_sd
82,13.9083,1.35369,2.57116,-5.04389,14.1952,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.46671,0,0,0
83,6.49449,1.35369,2.57116,-5.04389,6.19562,1.35362,2.59439,-5.0826,6.15549,1.35362,2.59439,-5.0826,1.35731,0,0,0
84,14.719,1.35369,2.57116,-5.04389,14.2358,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.26634,0,0,0
85,14.4585,1.35369,2.57116,-5.04389,14.3978,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.86914,0,0,0
86,14.5997,1.35369,2.57116,-5.04389,14.0334,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.28878,0,0,0
87,14.925,1.35369,2.57116,-5.04389,13.8253,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.63403,0,0,0
88,13.888,1.35369,2.57116,-5.04389,14.8932,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.04911,0,0,0
89,13.6276,1.35369,2.57116,-5.04389,14.288,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.72971,0,0,0
90,13.0066,1.35369,2.57116,-5.04389,14.8036,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.91053,0,0,0
91,13.7444,1.35369,2.57116,-5.04389,13.9279,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.69864,0,0,0
92,14.5761,1.35369,2.57116,-5.04389,14.8075,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,6.30425,0,0,0
93,6.42419,1.35369,2.57116,-5.04389,6.13008,1.35362,2.59439,-5.0826,6.15549,1.35362,2.59439,-5.0826,1.45725,0,0,0
94,14.7719,1.35369,2.57116,-5.04389,14.8533,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.18114,0,0,0
95,13.8801,1.35369,2.57116,-5.04389,14.1667,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.12077,0,0,0
96,13.4954,1.35369,2.57116,-5.04389,13.5448,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.23839,0,0,0
97,5.88641,1.35369,2.57116,-5.04389,6.02043,1.35362,2.59439,-5.0826,5.70105,1.35362,2.59439,-5.0826,1.64697,0,0,0
98,0.812732,1.35369,2.57116,-5.04389,1.54588,1.35362,2.59439,-5.0826,1.40826,1.35362,2.59439,-5.0826,1.05116,0,0,0
99,14.5762,1.35369,2.57116,-5.04389,14.8999,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.33244,0,0,0
100,14.5142,1.35369,2.57116,-5.04389,14.019,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.55179,0,0,0
101,5.50893,1.35369,2.57116,-5.04389,5.55132,1.35362,2.59439,-5.0826,5.17061,1.35362,2.59439,-5.0826,1.65318,0,0,0
102,14.5108,1.35369,2.57116,-5.04389,13.828,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.54759,0,0,0
103,13.6927,1.35369,2.57116,-5.04389,14.5256,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.5165,0,0,0
104,0.854997,1.35369,2.57116,-5.04389,0.768185,1.35362,2.59439,-5.0826,1.09205,1.35362,2.59439,-5.0826,1.05962,0,0,0
105,14.2147,1.35369,2.57116,-5.04389,14.2569,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.12145,0,0,0
106,14.0064,1.35369,2.57116,-5.04389,14.4319,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.1445,0,0,0
107,14.3666,1.35369,2.57116,-5.04389,13.7146,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.45833,0,0,0
108,14.2852,1.35369,2.57116,-5.04389,15.0566,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.66035,0,0,0
109,13.565,1.35369,2.57116,-5.04389,14.7685,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.40607,0,0,0
