rep,id,eta_th1,eta_th2,eta_th3,eta_th4
1,148,-3.78907454091418,0,0,0
2,148,-2.10498262360549,0,0,0
1,149,-1.96227504104694,0,0,0
2,149,-3.76732967554801,0,0,0
1,150,3.2051220259385,0,0,0
2,150,2.56312453295808,0,0,0
1,151,-3.95734098463031,0,0,0
2,151,7.7153502463982,0,0,0
1,152,10.499424577059,0,0,0
2,152,9.38432288961219,0,0,0
1,153,2.95448452970189,0,0,0
2,153,2.66353279536981,0,0,0
1,154,4.97770439433961,0,0,0
2,154,6.381353568089,0,0,0
1,155,10.7060105372482,0,0,0
2,155,1.0686981955343,0,0,0
1,156,5.00081746620369,0,0,0
2,156,-0.375859734198413,0,0,0
1,157,-1.51769819376502,0,0,0
2,157,-1.49459009299472,0,0,0
1,158,4.3441414051823,0,0,0
2,158,3.62255200309221,0,0,0
1,159,-2.40301868775816,0,0,0
2,159,3.40270685029974,0,0,0
1,160,1.87929529432129,0,0,0
2,160,-5.36287068365201,0,0,0
1,161,-9.96021287988605,0,0,0
2,161,-10.9013756118457,0,0,0
1,162,7.41866214870509,0,0,0
2,162,3.24942271904404,0,0,0
1,163,-1.85283930212479,0,0,0
2,163,-0.255748189781065,0,0,0
1,164,-5.45004082820716,0,0,0
2,164,-3.49468451487443,0,0,0
1,165,-0.0616547766959029,0,0,0
2,165,8.57582600581989,0,0,0
1,166,-4.84552629295309,0,0,0
2,166,1.45065811961476,0,0,0
1,167,7.38812367690131,0,0,0
2,167,2.23397512303096,0,0,0
1,168,-4.3161214356956,0,0,0
2,168,5.45321824589429,0,0,0
1,169,10.7940184091548,0,0,0
2,169,-3.90107017605554,0,0,0
1,170,5.65024408713037,0,0,0
2,170,-2.24854021646674,0,0,0
1,171,1.34195847466629,0,0,0
2,171,8.9530001439206,0,0,0
1,172,-0.243975433786644,0,0,0
2,172,1.00663427973973,0,0,0
1,173,5.42892131426922,0,0,0
2,173,-0.704810788526317,0,0,0
1,174,-2.08326987097871,0,0,0
2,174,-1.31495849405407,0,0,0
1,175,1.53666103226408,0,0,0
2,175,1.30560753003599,0,0,0
1,176,-6.45706728602701,0,0,0
2,176,-4.10161841264012,0,0,0
1,177,10.136508865276,0,0,0
2,177,-3.56906941834515,0,0,0
1,178,11.1157330538489,0,0,0
2,178,0.257092879981278,0,0,0
1,179,-3.9245989276058,0,0,0
2,179,14.6894320060899,0,0,0
1,180,-0.826980158267432,0,0,0
2,180,9.36997058101998,0,0,0
1,181,-2.45720085386188,0,0,0
2,181,-0.102296828736733,0,0,0
1,182,2.32445204311397,0,0,0
2,182,2.98719360059387,0,0,0
1,183,-2.1531098969807,0,0,0
2,183,13.5987830253275,0,0,0
1,184,7.17686192996597,0,0,0
2,184,-1.80462174435823,0,0,0
1,185,8.99450094528553,0,0,0
2,185,-1.49132320934243,0,0,0
1,186,-2.49753864246213,0,0,0
2,186,-3.26559025915238,0,0,0
1,187,4.40469136213313,0,0,0
2,187,4.76283034613192,0,0,0
1,188,3.13819725179141,0,0,0
2,188,2.97617853674536,0,0,0
1,189,-6.41018428690605,0,0,0
2,189,-4.10847950010458,0,0,0
1,190,1.16139936142941,0,0,0
2,190,5.52002744941939,0,0,0
1,191,3.80971334432133,0,0,0
2,191,1.39206311948409,0,0,0
1,192,1.44920865168044,0,0,0
2,192,5.12028159174223,0,0,0
1,193,6.14440954778522,0,0,0
2,193,1.46415512806887,0,0,0
1,194,-4.86089874158707,0,0,0
2,194,-5.310989648604,0,0,0
1,195,-0.953411173217907,0,0,0
2,195,1.12141477904405,0,0,0
1,196,6.96149615840158,0,0,0
2,196,1.20619869895792,0,0,0
1,197,1.56310580727246,0,0,0
2,197,4.82961278022964,0,0,0
